feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000000002	2	2.26529848571577	2.26529848571577	1.09909030257753	0.485185643087671	3.20361584132247	0.30249	0.637471585515048
ENSDARG00000000086	20	1.99298083067025	1.76057341853271	1.54507201018857	0.775256834592314	8.91288123046533	0.65075	0.928386682676383
ENSDARG00000000103	26	2.72476314682556	1.51683460580087	2.68112265498814	0.983983748500026	13.893620455582	0.30539	0.640014410119192
ENSDARG00000000151	4	1.56614631739347	1.51623786760405	1.13737977562489	0.726228298718494	3.13229263478694	0.69197	0.95145875
ENSDARG00000000161	9	1.42990748447384	1.48812427962682	0.841559139656555	0.588540971212709	4.28972245342152	0.79675	0.994605041274439
ENSDARG00000000183	27	1.79824451923578	1.52889238595377	1.16292467013532	0.646699966381405	9.34395261524591	0.97592	1
ENSDARG00000000189	31	2.858159346679	2.06978703272788	2.68536520088251	0.939543557640595	15.9135577537289	0.0759	0.29954143838754
ENSDARG00000000324	4	2.03405433182322	1.92052043929871	1.91747777455306	0.942687589290859	4.06810866364643	0.50079	0.825039072302984
ENSDARG00000000370	24	1.81013084728699	1.70328409595797	1.40469758619762	0.776019914970772	8.8677938870498	0.87232	1
ENSDARG00000000394	6	3.01707113602621	3.3888151693571	1.77168808133577	0.587221182881772	7.3902848009434	0.30593	0.640450626822157
ENSDARG00000000423	6	6.07998429541491	5.39524812714679	5.55896136245238	0.914305217308628	14.8928591679016	0.0029	0.0288093425605536
ENSDARG00000000442	12	2.54764518815291	2.25176960623642	1.94995436216153	0.765394793289597	8.82530181107841	0.18117	0.493490578747628
ENSDARG00000000472	5	3.0547087265901	3.1680428406548	1.67464132803881	0.548216369522135	6.83053636411727	0.12575	0.400253048780488
ENSDARG00000000503	28	8.82301158172849	6.73208210979693	6.68347228302412	0.757504648057459	46.6869889197924	0.02951	0.161172878883957
ENSDARG00000000529	4	2.39900791118936	2.33420191642501	1.3446561746581	0.560505102290995	4.79801582237871	0.27137	0.60482647606727
ENSDARG00000000542	19	1.81839764847075	1.35502522725343	1.94543644657178	1.06986304574683	7.926211588856	0.7312	0.967853941908714
ENSDARG00000000568	9	1.7901449192007	1.65181972435829	1.55025648696502	0.865994965177019	5.37043475760209	0.77848	0.98725055032372
ENSDARG00000000631	25	1.77510201117541	0.977150514986991	1.72351662455035	0.970939480491656	8.87551005587705	0.84523	1
ENSDARG00000000651	2	1.51348207269889	1.51348207269889	0	0	2.14038687361931	0.6046	0.899634544041451
ENSDARG00000000656	3	1.23950460438906	1.51348207269889	0.474542895241724	0.382848836189376	2.14688495101741	0.74434	0.97464755129959
ENSDARG00000000666	38	10.3407780596728	4.03212668669143	14.9382926932994	1.44460045531352	63.7448370726413	0	0
ENSDARG00000000729	37	1.73428141520209	1.40403782613278	1.364581523031	0.786828199316192	10.5492220093838	0.80952	0.997654017167382
ENSDARG00000000767	7	2.69730647470517	2.39587044179794	2.51176211811335	0.931211244131203	7.13640214179421	0.1614	0.462608386023294
ENSDARG00000000779	2	2.51496954476886	2.51496954476886	0.0563763409387313	0.0224163115835714	3.5567040391674	0.24041	0.570765562293274
ENSDARG00000000830	2	0.402999128923738	0.402999128923738	0.569926833748494	1.41421356237309	0.569926833748494	0.9714	1
ENSDARG00000000857	6	1.97337404924923	2.07394816761116	1.23684854309306	0.626768424143215	4.83375949231051	0.54952	0.862429985422741
ENSDARG00000000861	3	2.67953235624246	3.09525081306399	1.90745872402331	0.711862545559316	4.64108618153669	0.2524	0.583603006711409
ENSDARG00000000935	9	1.61766387538005	1.23241785660833	1.40789372738962	0.870325256573376	4.85299162614015	0.68962	0.950351062230043
ENSDARG00000000943	14	1.49705881973774	1.16663944952231	1.21968993795764	0.814724125650126	5.60148119130677	0.86026	1
ENSDARG00000001015	59	3.12040016971465	2.96707472406332	2.25522677844719	0.722736397829839	23.9682484952522	0.00079	0.0100506203840473
ENSDARG00000001127	13	4.13790249244838	2.71400448336091	3.40774746197011	0.823544650505709	14.9194196093929	0.04416	0.21236743718593
ENSDARG00000001162	13	3.31081184497639	3.90481877169288	2.0721163523699	0.625863519098493	11.9373018704759	0.17221	0.479548894277401
ENSDARG00000001210	3	3.96759038267021	5.13469708680298	3.11338857736933	0.78470514269016	6.87206812640645	0.06694	0.277765101156069
ENSDARG00000001220	32	2.26642532162049	1.68117908144007	2.01472133047174	0.888942296599129	12.820837711766	0.84529	1
ENSDARG00000001234	2	2.59617308761973	2.59617308761973	1.71207156229067	0.659459714167347	3.67154319077985	0.22882	0.557833756014718
ENSDARG00000001241	5	1.85831222109581	0.557373560216215	2.15602272713535	1.16020478295299	4.15531244978884	0.86143	1
ENSDARG00000001447	12	2.44467125313337	3.05574719316014	1.22769822854267	0.502193588184551	8.46858963646014	0.22927	0.558044542372881
ENSDARG00000001470	12	3.65427505927388	1.57727843745353	5.84219347792963	1.59872844358095	12.6587801349883	0.01668	0.107052786885246
ENSDARG00000001558	2	2.56516906833126	2.56516906833126	0.223789276923984	0.0872415310502585	3.62769688621402	0.21288	0.536850105386417
ENSDARG00000001621	2	1.35234386757444	1.35234386757444	0.10141411142466	0.0749913641465737	1.91250303851585	0.63894	0.922436147019424
ENSDARG00000001634	19	6.67102845206297	5.83119772602743	4.73590200991156	0.709920823144895	29.078338872027	0	0
ENSDARG00000001676	29	7.53262734936694	3.48125922533672	12.761582399295	1.69417413173473	40.5644397070697	0	0
ENSDARG00000001710	46	5.14729607556937	3.22431316684078	9.56421887820069	1.85810544755631	34.9106605053572	0	0
ENSDARG00000001712	2	3.43343630546829	3.43343630546829	0	0	4.85561218873743	0.14507	0.433578778625954
ENSDARG00000001729	13	2.07485938256632	1.47454361887713	2.27275256056096	1.09537666969502	7.48101189322042	0.74918	0.976496268159806
ENSDARG00000001733	6	2.42556453494064	2.58411483989806	1.22000479011366	0.502977666658335	5.94139544879576	0.29691	0.631584546801679
ENSDARG00000001734	9	1.79865698130115	1.66314386838818	1.31885617033436	0.7332449622386	5.39597094390346	0.7256	0.966633583127318
ENSDARG00000001754	4	1.56714827577191	1.11524723636289	1.73327022862789	1.10600270275903	3.13429655154382	0.64488	0.92449258322237
ENSDARG00000001767	4	1.14704111870384	1.28452996028394	0.532964019099327	0.464642470447422	2.29408223740768	0.824	1
ENSDARG00000001785	6	1.33870387363188	1.38283662830534	0.850131979006433	0.635041098895186	3.27914140708541	0.88494	1
ENSDARG00000001803	10	1.85684160418772	2.28674758314373	1.28331081410862	0.691125624939883	5.87184872339405	0.53609	0.852852451052826
ENSDARG00000001807	2	5.33177279761105	5.33177279761105	0.905662287755861	0.169861380470235	7.54026540187348	0.02875	0.157521469465649
ENSDARG00000001835	5	1.33531226929636	1.42579946951914	0.428323261075901	0.320766363737229	2.98584900533616	0.83857	1
ENSDARG00000001859	7	3.61491930671772	4.39585456034362	1.98247931962974	0.548415926171751	9.56417749514111	0.04289	0.208451116751269
ENSDARG00000001873	6	3.17359117244889	2.69150336590122	1.66813267889606	0.525629354334524	7.7736790247008	0.12389	0.396236379502414
ENSDARG00000001879	16	3.73925342074773	3.96358898626282	2.83688488855904	0.758676818430711	14.9570136829909	0.01027	0.0745830607082631
ENSDARG00000001880	8	1.13316370702877	1.33948716236812	0.636776690306367	0.561945892157133	3.20507096573812	0.93921	1
ENSDARG00000001889	7	6.71472555960665	6.70953871671197	4.24092523491315	0.631585788170557	17.7654939527682	0.1473	0.437592617981399
ENSDARG00000001898	15	1.14936945619112	1.16491723718223	0.784887572926607	0.68288535831432	4.45148876246768	0.98983	1
ENSDARG00000001910	13	1.66277049742279	1.35631490523362	1.14905811802212	0.691050340262291	5.99520428778663	0.98139	1
ENSDARG00000001912	48	2.76008764372701	2.19315229999806	2.41120992665456	0.873599043905233	19.122448129113	0.01941	0.120088064516129
ENSDARG00000001929	8	1.80414778499006	1.1927314862762	1.90829257561681	1.05772519939509	5.10290053211663	0.74639	0.975813155737705
ENSDARG00000001940	9	1.40731719031736	1.16134271065119	0.968744018307912	0.688362243404029	4.22195157095208	0.9369	1
