# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d 09_recalBases/bam/3_KB_A1.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	ba0bb487	417eef08	c7fe9b46
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	188677382
SN	filtered sequences:	64913426
SN	sequences:	123763956
SN	is sorted:	1
SN	1st fragments:	61881971
SN	last fragments:	61881985
SN	reads mapped:	123763956
SN	reads mapped and paired:	123763942	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	123763942	# proper-pair bit set
SN	reads paired:	123763956	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	474708	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	7819207
SN	total length:	12273464449	# ignores clipping
SN	total first fragment length:	6136633475	# ignores clipping
SN	total last fragment length:	6136830974	# ignores clipping
SN	bases mapped:	12273464449	# ignores clipping
SN	bases mapped (cigar):	12142511036	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	99
SN	average first fragment length:	99
SN	average last fragment length:	99
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	24.9
SN	insert size average:	1503.0
SN	insert size standard deviation:	2291.1
SN	inward oriented pairs:	72466357
SN	outward oriented pairs:	4977225
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	15	0	0	0	0	0	0	0	0	7594	0	29982	28621	54237	47530	81148	114432	131456	24695	9577	96985	0	1957343	318620	3566120	17929176	12911940	20624085	3948430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	16	0	0	0	0	0	0	0	0	0	7139	8218	29854	63151	8910	86166	73379	206987	9966	34095	47199	0	1948716	61375	3504054	18117262	12867496	20675796	4132208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	17	0	0	0	0	0	0	0	0	0	7142	7951	31059	64216	9369	88729	71740	204149	10879	35059	47866	0	2005908	64230	3524762	18083405	12827840	20603980	4193687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	18	0	0	81	0	0	0	0	0	0	7237	8086	31508	64288	9471	88774	71286	204028	10511	35190	48104	0	1990440	63212	3527896	17814723	12590603	20991072	4325461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	19	0	0	661	0	0	0	0	0	0	7330	7809	31114	63220	9403	90613	73106	206784	10811	35202	46561	0	1962588	61388	3514650	18106101	12688610	20817565	4148455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	20	0	0	0	0	0	0	0	0	0	7512	7357	31009	61833	9640	92000	72843	205106	11222	36054	45577	0	1981012	62983	3561229	17980795	12689645	20818410	4207744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	21	0	0	0	0	0	0	0	0	0	8520	7362	35633	66115	10752	95893	77720	209258	12290	38490	46299	0	1979303	61007	3534893	17885114	12653518	20901196	4258608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	22	0	0	0	0	0	0	0	0	10994	0	40722	36119	58477	66433	96000	141012	134436	32648	10791	48877	0	1970685	63647	3529537	18026062	12610966	20817695	4186870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	23	0	0	556	0	0	0	0	0	12021	0	42872	36886	59739	71102	101911	148426	137512	33712	10828	49564	0	1994741	65911	3515301	18050962	12575815	20789632	4184480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	24	0	0	0	0	0	0	0	0	13267	8745	48183	78062	14585	118535	95415	250737	16113	47847	28041	22809	0	1974634	68496	3497401	17862869	12559069	20862239	4314924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
