# This file was produced by samtools stats (1.11+htslib-1.11) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats -d 09_recalBases/bam/22_KB_C6.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	e81fea67	bc6616af	f9306943
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	169406956
SN	filtered sequences:	41553311
SN	sequences:	127853645
SN	is sorted:	1
SN	1st fragments:	63926820
SN	last fragments:	63926825
SN	reads mapped:	127853645
SN	reads mapped and paired:	127853640	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	0
SN	reads properly paired:	127853640	# proper-pair bit set
SN	reads paired:	127853645	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	495390	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	7243584
SN	total length:	12677072285	# ignores clipping
SN	total first fragment length:	6338429878	# ignores clipping
SN	total last fragment length:	6338642407	# ignores clipping
SN	bases mapped:	12677072285	# ignores clipping
SN	bases mapped (cigar):	12551638253	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	0	# from NM fields
SN	error rate:	0.000000e+00	# mismatches / bases mapped (cigar)
SN	average length:	99
SN	average first fragment length:	99
SN	average last fragment length:	99
SN	maximum length:	100
SN	maximum first fragment length:	100
SN	maximum last fragment length:	100
SN	average quality:	25.1
SN	insert size average:	1560.4
SN	insert size standard deviation:	2343.0
SN	inward oriented pairs:	75145957
SN	outward oriented pairs:	5462593
SN	pairs with other orientation:	0
SN	pairs on different chromosomes:	0
SN	percentage of properly paired reads (%):	100.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	15	0	0	0	0	0	0	0	0	7652	8826	22627	29131	57131	49395	107698	96977	137293	25875	10353	101324	0	2058127	331463	3598740	14539687	17384159	16262212	9098150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	16	0	0	0	0	0	0	0	0	0	15417	0	31296	66045	9564	90641	98143	192886	10815	35926	50339	0	2043794	65207	3594559	14827451	17122580	16368616	9303541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	17	0	0	0	0	0	0	0	0	0	15321	0	32179	66609	10023	94236	97850	189349	11558	36502	50338	0	2105146	68392	3631549	14924146	16966353	16338233	9289036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	18	0	0	103	0	0	0	0	0	0	15553	0	32364	67830	9940	93390	97567	189467	11531	37314	50829	0	2100524	67709	3649502	14699363	16658342	16554797	9590695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	19	0	0	666	0	0	0	0	0	0	15466	0	32205	66248	9891	95482	99252	191094	11315	37605	49522	0	2072436	65602	3640877	14914039	16831129	16567526	9226465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	20	0	0	0	0	0	0	0	0	0	15090	0	32634	64401	10491	95790	99602	187990	12206	37592	48547	0	2091817	66539	3675179	14743430	16881197	16401723	9462592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	21	0	0	0	0	0	0	0	0	0	16464	0	36846	68846	11452	100818	106922	191923	13087	40483	49382	0	2084908	65655	3654043	14753185	16727250	16552439	9453117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	22	0	0	0	0	0	0	0	0	11197	8288	34039	36754	61472	68815	129656	117235	140747	33796	11656	51584	0	2081793	68124	3640923	14812021	16726442	16464814	9427464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	23	0	0	482	0	0	0	0	0	12023	8596	36349	38279	63443	73997	137969	123027	142701	34862	11889	52156	0	2101157	70235	3617118	14918433	16621607	16480028	9382469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FFQ	24	0	0	0	0	0	0	0	0	13356	8948	39779	41785	65266	79368	145627	129656	147539	37049	12460	53238	0	2079440	72288	3596132	14746681	16562144	16563606	9532458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
