feat	n.vars	mean.s	median.s	sd.s	cv.s	liptak.s	p.nom	fdr
ENSDARG00000000001	12	1.6400633637759	1.50686738237106	1.42153422818033	0.866755675163398	5.68134614738435	0.72488	1
ENSDARG00000000002	5	2.23455003786731	1.78493868961357	1.41900723162972	0.635030412200588	4.99660578379603	0.28611	0.839394418604651
ENSDARG00000000068	10	1.80227083546325	1.3289633680466	1.53726005949492	0.852957296565136	5.69928080055843	0.67827	1
ENSDARG00000000086	25	2.37037409795632	1.98964228258538	1.88638274586798	0.795816469431714	11.8518704897816	0.4348	0.957876200417537
ENSDARG00000000103	26	2.64924538673501	1.87890678230741	2.21496931738375	0.836075558902275	13.5085539232575	0.58185	1
ENSDARG00000000142	10	1.5184501164046	1.24967475955524	0.950198837424269	0.625768885759748	4.80176088118636	0.91241	1
ENSDARG00000000151	6	1.30746015442179	0.646584572132476	1.25360798664848	0.958811618395259	3.2026102373539	0.81992	1
ENSDARG00000000161	14	1.11514341959361	0.84782012975107	0.610786336966592	0.547719984922816	4.17248461323479	0.98205	1
ENSDARG00000000183	26	2.87956842239339	2.24629286319977	2.19098453454941	0.760872538228611	14.6829755765095	0.28134	0.837122874251497
ENSDARG00000000189	24	1.7970442261422	1.72109560160988	1.29755281933878	0.72204835054299	8.80368279852609	0.78541	1
ENSDARG00000000370	27	2.2785896886305	2.13091826224418	1.60590882262417	0.704781923062841	11.8398993309317	0.58031	1
ENSDARG00000000394	8	3.21012937713846	3.200764799412	1.40244408502824	0.436880860633223	9.07961700424302	0.18009	0.7074396
ENSDARG00000000423	8	2.1081758115696	2.50459870667209	1.4989688559064	0.711026493938555	5.96282164917728	0.34237	0.887457811829605
ENSDARG00000000442	10	1.87910033122432	0.92783334262067	2.02157473844667	1.07582054287092	5.94223699864567	0.5609	1
ENSDARG00000000503	17	3.42940024960366	2.28010411415485	3.04070522510073	0.886658017083934	14.1397794616355	0.99309	1
ENSDARG00000000529	14	2.49953199047756	1.48826595286705	2.77896616524003	1.11179459827961	9.35239233564813	0.13324	0.623902662229617
ENSDARG00000000567	20	1.82696805710397	1.63479944420632	1.05846736793914	0.579357347723404	8.17044953681038	0.6508	1
ENSDARG00000000568	13	1.42119249333766	0.927750100401684	1.38127423964165	0.971912141470537	5.12418240703343	0.96226	1
ENSDARG00000000656	9	1.62893700199215	1.55344573403387	1.08733119190009	0.667509664628106	4.88681100597645	0.65917	1
ENSDARG00000000729	24	1.60154992359706	1.41802867138445	1.39567331858654	0.871451646947023	7.84596022081237	0.84471	1
ENSDARG00000000767	4	2.05273298414606	2.47938788930483	1.19164287371636	0.580515285192872	4.10546596829211	0.36133	0.902736862977212
ENSDARG00000000861	3	3.57284999374536	3.76343841717867	1.36095301181554	0.380915239710042	6.18835771698912	0.0762	0.479091345724907
ENSDARG00000000935	22	1.99851494208046	1.70512499666445	1.03104600512908	0.515906077767806	9.3738659805768	0.41022	0.939776727272727
ENSDARG00000000943	15	2.15803625840553	1.66871728755481	2.28973132182507	1.06102541739352	8.35803848931637	0.32676	0.872945544303797
ENSDARG00000001014	27	2.33414101010142	1.87604688052602	1.57484789760994	0.674701267316115	12.1285524645774	0.26841	0.819499898734177
ENSDARG00000001015	34	1.97761426264214	1.84183760440883	1.44953666198505	0.732972394752265	11.5313736320263	0.59946	1
ENSDARG00000001127	13	2.16013535540059	1.35661041719156	2.04069667470775	0.944707779355479	7.78847878583945	0.89237	1
ENSDARG00000001129	30	1.95221568669434	1.19176640301776	2.02558195034401	1.03758102352609	10.6927256871793	0.61902	1
ENSDARG00000001162	11	2.05992040781727	1.57688171484497	1.24744673712195	0.605580066291867	6.83198309072575	0.72319	1
ENSDARG00000001169	5	2.27223728110609	3.1160196007862	1.45471842256021	0.640214133733461	5.08087702156253	0.26084	0.812449115044248
ENSDARG00000001210	3	1.63119437839008	1.77409421447764	1.37081395885719	0.840374376602576	2.82531154039235	0.75234	1
ENSDARG00000001220	47	2.30283041714557	1.97380953902242	1.70186946903458	0.739033780500478	15.7874099432475	0.57703	1
ENSDARG00000001234	5	1.71274892330561	0.57210937755394	2.34079388278331	1.36668828158746	3.82982302090091	0.54653	1
ENSDARG00000001241	3	1.64781668989636	1.94099442209311	0.810101785368085	0.491621301286273	2.85410222846046	0.88738	1
ENSDARG00000001244	8	2.01905736854084	2.07066251251871	0.86015975698972	0.42602046400066	5.71075662759957	0.92594	1
ENSDARG00000001303	5	1.58667985572015	1.74446101063095	0.317604802092758	0.200169429861834	3.54792401591981	0.59905	1
ENSDARG00000001447	10	1.48422192535478	1.13645957225952	1.20260357585437	0.810258597660121	4.69352183728153	0.80207	1
ENSDARG00000001463	14	1.84776655645929	1.33647837582918	1.09199727529207	0.590982270717445	6.91370938500975	0.51906	0.999107159374291
ENSDARG00000001470	7	6.67381915567714	2.03479790452016	9.39670488172285	1.40799513180237	17.6572657809408	0.00033	0.0120080172413793
ENSDARG00000001557	3	2.01620013878803	1.78115703764388	0.8081268406138	0.400816776602137	3.49216107860829	0.4652	0.969683555555556
ENSDARG00000001558	13	2.70182250929166	2.50839500877384	2.46952761620157	0.914022889256707	9.74155959445385	0.10513	0.556431009404389
ENSDARG00000001559	31	2.55149926044619	2.16000882407617	2.24650087651992	0.88046307178904	14.2061466540995	0.0562	0.404812627986348
ENSDARG00000001676	16	4.5298938743834	4.9894566458852	3.08940786711611	0.682004469152523	18.1195754975336	0.43928	0.960453691240689
ENSDARG00000001710	25	3.58077187030731	3.92628054057398	2.43103964494236	0.678914975036855	17.9038593515366	0.10257	0.551497428389561
ENSDARG00000001734	6	2.41009876424214	1.51733027247702	2.77876595822527	1.15296767064194	5.90351220210553	0.44697	0.963452135748915
ENSDARG00000001769	14	2.03781383416552	1.59438915898694	1.61732310552366	0.793655965234896	7.62480118547555	0.67708	1
ENSDARG00000001781	7	1.84076954895629	1.6016534780358	1.00849940582983	0.547868366467519	4.87021844751887	0.47747	0.976653123942981
ENSDARG00000001785	5	2.14239595936219	1.9975635615728	1.37245364668329	0.640616241216156	4.79054299985474	0.51537	0.997650433386838
ENSDARG00000001803	11	1.58422914804481	1.42405447347082	1.0712537995706	0.67619876890455	5.25429366600902	0.7001	1
ENSDARG00000001807	19	2.57397281120453	2.76890740674452	1.56862414539656	0.60941752708821	11.2196873674619	0.28732	0.840427855905785
ENSDARG00000001817	6	1.11075683014223	0.886388442372805	0.93097376111616	0.838143629507957	2.72078746215975	0.95446	1
ENSDARG00000001835	13	1.98776182569174	2.00255882445196	0.914975646739791	0.460304466517955	7.16697718594147	0.60887	1
ENSDARG00000001859	5	2.31405259539802	0.881028429036563	3.00179974167284	1.29720463037121	5.1743789068198	0.25027	0.800295204545455
ENSDARG00000001879	11	1.07261474244038	1.08612743914641	0.831130273224134	0.774863742160744	3.55746064527843	0.96093	1
ENSDARG00000001880	8	1.95137727325946	0.804445405534188	2.79895184385005	1.43434684937929	5.51932841030031	0.45513	0.965136262245667
ENSDARG00000001889	4	9.40926861748856	5.7676632272717	9.35595587746552	0.994334018701098	18.8185372349771	0.09526	0.535766102598268
ENSDARG00000001891	2	1.73505856636899	1.73505856636899	0.638312916381978	0.367891279726536	2.45374335607065	0.44358	0.960919260969977
ENSDARG00000001906	5	1.20490669203618	1.42579946951914	0.912018204472354	0.756920191829235	2.6942532699373	0.80961	1
ENSDARG00000001910	14	1.64269868431176	1.87724950146903	0.878731761196296	0.534931798258826	6.14641566639892	0.9928	1
ENSDARG00000001929	3	3.6730201085731	1.96084344296673	3.40072964262266	0.925867417574193	6.36185744527076	0.15219	0.662945294117647
ENSDARG00000001940	8	1.34424074093113	0.576995048191848	1.58834070836481	1.18158947277896	3.80208697383853	0.95567	1
ENSDARG00000001953	18	2.58869761816681	2.49650285260493	1.01328077326711	0.391424925860852	10.9829138414833	0.20571	0.747015463917526
ENSDARG00000001969	10	1.46325404069644	1.27741690982928	1.81500543893878	1.24038983557149	4.62721556404547	0.79079	1
ENSDARG00000001975	2	2.90235703437609	2.90235703437609	2.28314717229892	0.786652760241719	4.10455268086362	0.16077	0.683258450704225
ENSDARG00000001999	6	3.11572568835061	2.89637094093818	2.53082913371282	0.812275978971877	7.63193811494087	0.08808	0.514874366782007
ENSDARG00000002013	2	2.04943485383596	2.04943485383596	2.89833856549493	1.41421356237309	2.89833856549493	0.35096	0.893756959276018
ENSDARG00000002021	13	2.14765503260236	2.326933052253	1.36338243689298	0.634823757165945	7.74348034205611	0.39539	0.928127413170325
ENSDARG00000002037	19	2.79341156085092	2.19315229999806	2.77794078273572	0.994461690381746	12.1761987014674	0.25292	0.802688210526316
ENSDARG00000002082	4	1.84109589496256	1.78880742093458	1.73595268359199	0.942890964203302	3.68219178992511	0.8932	1
ENSDARG00000002128	10	1.67596557494436	1.45611773054804	1.0566786249375	0.630489456785282	5.29986849685781	0.70067	1
ENSDARG00000002131	7	3.91259406628717	1.69090566022949	4.69154307114124	1.1990876108426	10.3517508805428	0.05298	0.393366015831135
ENSDARG00000002167	10	2.9993185257133	1.38869991300868	3.91757983774113	1.30615664997083	9.48467796959234	0.17995	0.7074396
ENSDARG00000002174	6	1.49602208910137	1.23544919206026	1.45803672874764	0.974609091249085	3.66449076223086	0.73439	1
ENSDARG00000002184	3	6.97369172580772	7.15273028002877	0.410840608982692	0.0589129294979134	12.0787883854217	0.00456	0.0831436717062635
ENSDARG00000002190	12	3.04004640564844	2.96720804214508	1.11810320032476	0.367791491027015	10.5310296639005	0.23036	0.778190924369748
ENSDARG00000002194	2	0.523911387606611	0.523911387606611	0.740922589834976	1.4142135623731	0.740922589834976	0.95185	1
ENSDARG00000002196	17	2.13050239867723	1.28792818639663	2.08285343291084	0.977634868753974	8.78428642537799	0.30786	0.860704834874505
ENSDARG00000002210	16	1.81639697112715	1.8420752852629	1.45386271061273	0.800410226246164	7.2655878845086	0.84448	1
ENSDARG00000002213	3	2.40582386792478	2.19315229999806	0.451739261356317	0.187769049671113	4.16700917330759	0.23211	0.780355483870968
ENSDARG00000002216	18	2.52773942388673	2.00606888188788	2.04172759629732	0.807728667363148	10.7242901262173	0.11123	0.571028170212766
ENSDARG00000002217	14	5.37105621776692	4.55916131453393	3.51390300497274	0.654229422017424	20.0966521719857	0.10751	0.562051225247525
ENSDARG00000002230	11	7.55182222120447	7.11146643469711	3.94927651006109	0.52295676386185	25.0465607912035	0.28603	0.839394418604651
ENSDARG00000002249	7	2.57397263076691	1.96335439957526	1.82719465290531	0.709873380573164	6.81009146249594	0.34255	0.887457811829605
ENSDARG00000002264	5	4.80716915635317	4.83799518766922	2.89220047822543	0.601643167560079	10.749157012946	0.02894	0.278038566552901
ENSDARG00000002271	8	4.1385415293286	3.94958070735503	0.811202560188841	0.196011699880282	11.7055631184416	0.09767	0.538908588235294
ENSDARG00000002285	20	1.41934107844903	1.6016534780358	0.902309110525836	0.635723945587361	6.34748626933977	0.90571	1
ENSDARG00000002299	9	3.07928394093722	3.15497675867466	1.75973501149213	0.571475396632808	9.23785182281166	0.06106	0.420790628571429
ENSDARG00000002305	24	2.91979310834189	2.7906091604161	1.84703269182031	0.632590263516723	14.304006539865	0.1429	0.644424038461539
ENSDARG00000002333	5	2.05709052306038	2.35051042293796	1.35116834090474	0.656834653486504	4.59979424543361	0.72705	1
ENSDARG00000002336	5	1.79055366256694	2.01038949386681	0.803285422640041	0.448624042626263	4.00379970686089	0.47489	0.974719518599562
ENSDARG00000002339	8	2.46652819543916	1.99012379036694	2.25103130185726	0.912631489889157	6.9763952519314	0.22014	0.764468070752777
ENSDARG00000002344	9	6.83450611437224	6.47244548605957	4.39662162378506	0.643297635587658	20.5035183431167	0.79242	1
ENSDARG00000002365	6	2.94982832418378	2.80457288287729	1.67066814967187	0.566361145825036	7.22557422305945	0.11643	0.585758081048868
ENSDARG00000002369	2	3.02716228588639	3.02716228588639	2.06752203310668	0.682990153103499	4.28105396020487	0.2373	0.78497063746578
ENSDARG00000002401	4	1.52000949612316	1.6706464869532	0.635916725529575	0.41836365309	3.04001899224632	0.64016	1
ENSDARG00000002403	6	2.67699686013602	2.28680294981747	2.49472916865943	0.931913371214289	6.55727635036596	0.143	0.644530699412707
ENSDARG00000002405	13	2.3414965818845	1.34995904567657	3.36349964042146	1.43647429018001	8.44238598730823	0.23833	0.785306921576278
ENSDARG00000002463	22	2.57646232403698	1.28201770869298	3.10612781795586	1.20557859083651	12.0846794892544	0.07355	0.472174220532319
ENSDARG00000002467	11	2.05307316459613	1.57434862688796	1.79381856603127	0.873723643640406	6.80927335411295	0.82158	1
ENSDARG00000002506	12	3.02185578504329	3.33092793140188	1.50825834725142	0.499116587468058	10.4680155056818	0.52151	0.999107159374291
ENSDARG00000002510	7	1.41691986238472	0.881028429036563	0.912965840798556	0.644331316848087	3.74881758357783	0.76462	1
ENSDARG00000002523	15	3.87402500977313	3.33399376795941	2.65710985185244	0.685878342331104	15.0040343456424	0.00247	0.0553096551724138
ENSDARG00000002536	9	1.38830493687537	1.4987827616352	0.695579128669999	0.501027627428541	4.16491481062612	0.91672	1
ENSDARG00000002538	10	1.85931247590056	1.33922919500815	1.43945806639414	0.774188354594314	5.87966230581271	0.71798	1
ENSDARG00000002546	19	2.83154239261946	2.73230457302142	1.15007500762033	0.406165562139577	12.3424071437796	0.73163	1
ENSDARG00000002549	10	1.62171896916609	1.35814846277032	0.856950451183635	0.528421056592988	5.12832566726521	0.85452	1
ENSDARG00000002552	10	1.88561091990293	1.40908332436069	1.59972714674153	0.848386658061932	5.96282528777858	0.60188	1
ENSDARG00000002571	10	3.12684491704199	2.9693458542032	1.17646150365991	0.376245555783064	9.88795182797295	0.04468	0.35756701986755
ENSDARG00000002591	13	1.16388305048026	1.21640455383607	0.896076850582054	0.769902826759354	4.19644001715003	0.99696	1
ENSDARG00000002600	8	3.24359146657281	2.25356143860062	2.9107736811359	0.89739219970616	9.1742620856498	0.37794	0.916736690606148
ENSDARG00000002607	11	1.77243163373221	1.6016534780358	1.07112145633067	0.604323143384218	5.87849069564636	0.55226	1
ENSDARG00000002613	2	0.90710729003973	0.90710729003973	0.50591072627798	0.557718730554819	1.28284343210169	0.87037	1
ENSDARG00000002632	12	4.92241783408213	4.9366009604478	3.10380158291307	0.63054411216837	17.0517555694268	0.00475	0.0851324050632911
ENSDARG00000002635	16	5.60579262960675	6.16149560645328	2.33302316976164	0.416180783684341	22.423170518427	1e-05	0.000654418604651163
ENSDARG00000002644	4	3.22738422847546	2.7645076946802	2.01122440633489	0.623174764439172	6.45476845695093	0.15519	0.672716457905544
ENSDARG00000002656	23	1.9057126529038	1.58288244301902	1.45529084514401	0.763646525055356	9.13947681517195	0.96867	1
ENSDARG00000002659	12	1.99241421410826	1.75559321793854	1.40080579477914	0.703069564983051	6.90192529711583	0.96734	1
ENSDARG00000002670	12	2.75844845952459	2.0453163220861	2.06142374202296	0.747312763776719	9.55554576391339	0.22606	0.771381778496362
ENSDARG00000002682	19	2.17387955479169	1.94493897191204	1.34517192385301	0.618788617284689	9.47572129476617	0.36244	0.904061907855877
ENSDARG00000002701	3	2.95903788034171	3.43343630546829	1.72369359454713	0.582518259059284	5.12520395027276	0.15682	0.677520184237462
ENSDARG00000002710	13	2.45179877782591	2.09204088378434	1.55244101082739	0.633184511252586	8.84008621057127	0.92108	1
ENSDARG00000002745	6	2.04304370308043	2.33849944411418	1.74103403761086	0.85217660052293	5.00441459475327	0.81238	1
ENSDARG00000002754	5	2.39571695366168	2.06641238603354	1.23697613247665	0.516328162467613	5.35698596323624	0.22532	0.770682825910931
ENSDARG00000002758	11	1.8002266273682	1.35103637847821	1.34175389848617	0.745324993024745	5.97067626058728	0.93136	1
ENSDARG00000002787	12	1.93867635854583	1.69814224126189	1.95434686588129	1.00808309611162	6.715771904868	0.75741	1
ENSDARG00000002790	4	0.778047404679275	0.556032639221026	0.644709945842454	0.828625533566576	1.55609480935855	0.99806	1
ENSDARG00000002792	8	2.01310620866281	2.10906323024065	1.31345539259314	0.652452109551436	5.69392420557685	0.53532	1
ENSDARG00000002816	4	1.35483605164004	0.223235676434133	2.42118966492532	1.78707206823619	2.70967210328008	0.72879	1
ENSDARG00000002826	3	1.3352634979027	1.17193618839342	0.886933104868152	0.664238261782232	2.31274421985961	0.68108	1
ENSDARG00000002830	9	1.46692965194403	0.866008240221108	1.56391047765238	1.06611143593684	4.4007889558321	0.76622	1
ENSDARG00000002840	33	3.65418109994586	2.92383972246038	2.97163370766082	0.813214678305037	20.9916722504343	0.14648	0.652340411392405
ENSDARG00000002847	3	6.38281942657408	5.39263534980289	2.62601501465065	0.411419286548757	11.055367542364	0.00972	0.138374772344013
ENSDARG00000002872	5	1.73060888003167	1.64500960838496	0.951258084695426	0.549666707290916	3.86975909821558	0.54915	1
ENSDARG00000002877	10	4.0318853358218	1.40882224327398	7.93384428706831	1.96777527787783	12.7499409258298	0.00956	0.137254285714286
ENSDARG00000002894	10	2.5298093133173	2.12278269869242	1.39700524756766	0.552217607949191	7.99995947598921	0.19493	0.733923316986179
ENSDARG00000002933	6	2.24199600272498	1.88803123867565	1.42625513210761	0.636154181530255	5.49174621203573	0.27057	0.822479848866499
ENSDARG00000002947	8	0.979466394553927	0.85392160737911	0.345448874315838	0.352690889893332	2.77034931813368	0.97479	1
ENSDARG00000002952	10	2.54894619756053	2.15264573875214	1.66274252350616	0.652325468892788	8.0604756175168	0.14808	0.654840942902043
ENSDARG00000002967	3	3.24273879127753	3.25346510428569	0.347163952815162	0.10705887065248	5.61658834216718	0.226	0.771381778496362
ENSDARG00000002970	8	4.30445283744173	3.81149279118701	2.38368541690707	0.553771990756383	12.1748311626109	0.45997	0.966417804878049
ENSDARG00000002971	13	2.13270547978481	1.94572537774222	1.27609797227989	0.598347021834749	7.68957896282716	0.33205	0.877085763454318
ENSDARG00000002991	4	4.74898822389773	4.76721881572952	0.694267581857975	0.146192736036763	9.49797644779545	0.0117	0.15803424
ENSDARG00000003008	19	2.8154715113413	1.6914871216881	3.07935946067979	1.09372779950907	12.2723557963545	0.6103	1
ENSDARG00000003017	4	4.20252791351393	3.46847067012292	3.8330849928264	0.912090311286326	8.40505582702787	0.20801	0.749799487836108
ENSDARG00000003021	7	2.50718301000525	2.19315229999806	1.98237697313848	0.790679007167621	6.63338273580025	0.17913	0.7074396
ENSDARG00000003027	7	1.23334429355953	1.28370317467633	0.988873931443241	0.801782548966332	3.26312228167916	0.87764	1
ENSDARG00000003035	15	4.91365624506796	5.43080061840495	2.66765637327422	0.542906593425591	19.0305088061363	0.07387	0.473868191489362
ENSDARG00000003054	7	2.22380681333926	1.66266187498724	3.0145061831238	1.35556117781528	5.88363979194671	0.2713	0.82294338362069
ENSDARG00000003058	10	1.98759785044286	1.86763148408092	1.60760804444643	0.808819572876993	6.28533627985416	0.62815	1
ENSDARG00000003061	13	1.76535183208884	1.81776120317886	0.944363842726618	0.534943701057713	6.36506654983061	0.63727	1
ENSDARG00000003068	32	1.33579330384037	1.21718412127877	1.17212003874378	0.877471114261438	7.55638802727289	0.98098	1
ENSDARG00000003069	8	1.54905260323536	1.08842856267632	1.4765457739722	0.953192790798892	4.38138240064959	0.6653	1
ENSDARG00000003081	2	4.7805101787011	4.7805101787011	0.816828093674907	0.170866301532872	6.76066232978173	0.0337	0.305377813504823
ENSDARG00000003084	24	2.25605430463615	2.47863409202003	1.28784985677487	0.570841692120779	11.0523637567362	0.24619	0.794470940366972
ENSDARG00000003087	12	1.72498492672418	1.63929097814521	1.27752040671423	0.740598011566569	5.97552307075352	0.79497	1
ENSDARG00000003109	27	3.17706772325583	3.05910194686595	1.82717023642416	0.57511214603625	16.5085281472988	0.06789	0.445666702954899
ENSDARG00000003142	9	2.13498678768263	2.54609616025392	1.35681719316511	0.635515498734229	6.40496036304788	0.47507	0.974851954302382
ENSDARG00000003144	5	1.39841810815678	1.48812427962682	1.18891610283398	0.850186432726522	3.12695795080521	0.73881	1
ENSDARG00000003146	7	2.93646635420705	2.92093670587542	0.881129112671647	0.300064433365382	7.76915970654035	0.15789	0.680054785714286
ENSDARG00000003157	18	1.38389752320721	1.30292985540078	0.935864809858718	0.67625296972122	5.87137993876253	0.91815	1
ENSDARG00000003169	21	1.83274283911817	1.73339001008652	1.29121943528893	0.704528430137099	8.39868278964726	0.9972	1
ENSDARG00000003189	18	2.76393392630585	2.1943440552228	2.51863675136268	0.911250709501938	11.7263785322546	0.50054	0.988110736497545
ENSDARG00000003193	6	2.17498256263879	1.84509319418659	0.95306219093034	0.43819302614272	5.32759747791599	0.30362	0.858119418060201
ENSDARG00000003200	2	1.79642317458113	1.79642317458113	2.22394584892952	1.23798550385995	2.54052601725397	0.52906	1
ENSDARG00000003206	4	3.05751346283453	2.91837471339691	1.25492291238351	0.410439047166158	6.11502692566907	0.2444	0.791647580398162
ENSDARG00000003208	25	1.25757379649231	1.17193618839342	0.940491758752396	0.747862082826206	6.28786898246154	0.98844	1
ENSDARG00000003216	9	4.14446582282099	2.06072927298383	3.86050896043005	0.931485292790362	12.433397468463	0.01435	0.18133264573991
ENSDARG00000003235	8	1.75883838879326	1.89944260022621	1.23108509334641	0.699942132938696	4.97474620690773	0.60871	1
ENSDARG00000003244	12	4.78347864894053	4.95105076189238	3.10796371392428	0.649728773141414	16.5704561137718	0.00121	0.0325312738853503
ENSDARG00000003250	11	2.25246469923814	2.55942347463971	1.24993093874998	0.554916993448444	7.47058026089364	0.40789	0.936726708378672
ENSDARG00000003251	22	1.38848834570337	1.51593379404204	0.839842784697057	0.6048612415768	6.51258761901825	0.96263	1
ENSDARG00000003257	10	1.98021158942805	1.40303737323306	2.17993908482501	1.10086169400445	6.26197887165486	0.4464	0.963320245398773
ENSDARG00000003269	36	3.75433390457624	3.47774430756467	1.96101340475311	0.522333243285257	22.5260034274574	0.15826	0.680588040609137
ENSDARG00000003270	14	4.56258209798587	3.01261010325986	4.28317087072986	0.938760285019451	17.0716190096914	0.00112	0.0305988349514563
ENSDARG00000003281	18	4.50541866459465	4.44311701721227	1.97069983742761	0.437406595066103	19.1148725389159	0.17912	0.7074396
ENSDARG00000003290	7	1.51454675780444	1.4235476489691	1.59281779435335	1.05167951147469	4.00711407012972	0.7929	1
ENSDARG00000003308	2	0.818249256087229	0.818249256087229	0.848025484187277	1.03639016825073	1.15717919536026	0.90082	1
ENSDARG00000003320	14	3.04345782220515	3.51943215667304	1.81436368990736	0.5961520730367	11.3875764417888	0.17459	0.704721727099237
ENSDARG00000003326	2	0.925130839559906	0.925130839559906	0.805851847410777	0.87106797541646	1.30833258027523	0.85267	1
ENSDARG00000003328	11	1.16875383446484	1.18350424452053	0.867841175627399	0.742535468150805	3.87631794120902	0.93515	1
ENSDARG00000003375	6	3.92269461249843	3.16638397523748	2.77296440115038	0.706902951944105	9.60860021738575	0.02376	0.249170086956522
ENSDARG00000003398	16	2.75734559458728	2.79334969292818	1.89746598359629	0.688149496864323	11.0293823783491	0.06577	0.437189244094488
ENSDARG00000003399	6	1.82705548127198	1.48692642725268	1.77618562764	0.972157466396936	4.47535366087149	0.51159	0.994800151863783
ENSDARG00000003403	32	1.73053420320571	1.29706787360303	1.60420032045061	0.926997176639979	9.78937976129612	0.98322	1
ENSDARG00000003420	5	3.20409260456647	3.39701965156479	1.03396505727381	0.322701365060488	7.16456887001498	0.09346	0.529281126760563
ENSDARG00000003446	11	1.46917632775892	1.74477457455977	0.726739038171122	0.494657465166001	4.87270663004855	0.80516	1
ENSDARG00000003449	2	1.08276001060183	1.08276001060183	0.649241038792039	0.599616750189333	1.53125389178835	0.75986	1
ENSDARG00000003462	2	3.59889760089034	3.59889760089034	1.54220355557417	0.428521099125643	5.08960979677111	0.10864	0.565437040690506
ENSDARG00000003486	4	0.998451207587934	0.762607357436017	0.754657012740966	0.755827632843544	1.99690241517587	0.99113	1
ENSDARG00000003512	14	2.64778178600107	1.54144390092698	2.54633670050928	0.961686765114809	9.90709227815639	0.44607	0.962918997698798
ENSDARG00000003517	5	4.70086336189408	6.04085475498008	3.03640995122894	0.645926017727412	10.5114500301334	0.01048	0.146234975206612
ENSDARG00000003519	3	1.00696070460509	1.03352204776529	0.739419365944182	0.734308064418629	1.74410710160137	0.88607	1
ENSDARG00000003527	10	2.46414777554366	1.61057660797236	1.88601810240729	0.765383521688824	7.79231946195533	0.19407	0.732318981233244
ENSDARG00000003531	4	1.26041287420309	0.858451461673056	1.37412737262204	1.09022003880343	2.52082574840618	0.96998	1
ENSDARG00000003570	9	3.41975048265466	2.46412671200974	3.8216666947931	1.11752793491133	10.259251447964	0.29091	0.843648993473033
ENSDARG00000003573	4	2.73794874596954	3.16706052514792	1.24042730915643	0.453049864787438	5.47589749193907	0.54111	1
ENSDARG00000003576	15	3.48091768584367	1.96727241534148	4.37620596160868	1.25719892182628	13.4815362267914	0.00922	0.133508130360206
