counts	instances_pre	instances_post
1	58164809	57637647
2	9867255	10028553
3	1526793	1575730
4	266349	275335
5	34037	36543
6	11330	12031
7	1064	1262
8	2606	2725
9	464	526
10	290	310
11	13	28
12	399	418
13	10	22
14	22	30
15	27	36
16	49	56
17	1	6
18	25	29
19	1	2
20	8	10
21	3	5
22	0	3
23	0	1
24	7	8
25	0	2
27	3	3
28	2	2
29	0	1
30	1	2
31	0	1
32	2	2
33	0	1
42	0	2
443	0	1
