counts	instances_pre	instances_post
1	61651605	61156009
2	9079710	9233587
3	1270953	1315061
4	214481	222501
5	25645	27874
6	9008	9738
7	830	1075
8	2646	2799
9	366	438
10	289	339
11	15	48
12	312	333
13	11	30
14	20	34
15	20	38
16	69	79
17	2	13
18	31	35
19	1	5
20	10	12
21	4	5
22	0	1
23	0	3
24	3	5
25	0	2
26	0	1
27	3	5
28	1	1
29	0	1
31	0	1
32	0	1
33	0	2
34	0	2
36	0	1
38	0	1
40	0	1
44	0	1
54	0	1
56	0	1
176	0	1
226	0	1
777	0	1
