unique	unique_null	directional	directional_null	edit_distance
48338340	48338340	48508212	48508212	Single_UMI
0	62	0	59	0
169513	1667	1253	1564	1
37276	15734	35190	14971	2
92862	88271	92074	84354	3
314518	321669	308205	309128	4
801442	832414	792695	797377	5
1788121	1858791	1787231	1799862	6
1329763	1396552	1344634	1351675	7
286826	305161	289167	291459	8
0	0	0	0	9
