unique	unique_null	directional	directional_null	edit_distance
38096381	38096381	38301669	38301669	Single_UMI
0	45	0	51	0
205588	1116	2038	1033	1
24878	11290	22902	10712	2
65239	64877	64171	60714	3
231834	241095	225117	224097	4
590173	624700	580205	583586	5
1316168	1392705	1315169	1321775	6
1007004	1082727	1023306	1027804	7
217759	240088	220447	223583	8
0	0	0	0	9
