unique	unique_null	directional	directional_null	edit_distance
47648362	47648362	47796796	47796796	Single_UMI
0	60	0	66	0
149008	1633	1247	1499	1
24153	15914	23358	15580	2
90213	90114	89295	87167	3
320695	328018	314823	315441	4
815589	841305	807700	809501	5
1809437	1864487	1808788	1815130	6
1331315	1384836	1344709	1345773	7
289307	303350	291363	291126	8
0	0	0	0	9
