unique	unique_null	directional	directional_null	edit_distance
50518052	50518052	50728800	50728800	Single_UMI
0	77	0	71	0
211793	1803	1883	1738	1
29001	17783	27990	16423	2
96901	98178	95596	93628	3
344339	355526	336415	337283	4
873746	907380	862546	864159	5
1945309	2025415	1944472	1954861	6
1392616	1466466	1411103	1409839	7
298055	319132	301007	303010	8
0	0	0	0	9
