counts	instances_pre	instances_post
1	52785798	52080244
2	13446413	13613859
3	3025610	3103897
4	672397	692446
5	122977	129988
6	33610	35689
7	4689	5133
8	4511	4731
9	850	960
10	633	683
11	45	77
12	654	677
13	14	29
14	57	61
15	45	52
16	97	102
17	3	7
18	51	56
19	1	5
20	20	26
21	1	1
22	0	2
24	9	11
25	2	4
27	2	3
28	0	1
30	6	6
35	1	1
50	0	1
53	0	1
