counts	instances_pre	instances_post
1	38936233	38144956
2	12760872	12921847
3	3534564	3628733
4	895382	923011
5	191050	201285
6	49931	52738
7	8599	9291
8	5457	5676
9	1005	1083
10	794	827
11	70	85
12	686	707
13	31	35
14	64	71
15	46	46
16	96	99
17	1	3
18	43	43
19	1	1
20	35	34
21	10	10
22	2	2
23	1	1
24	6	6
25	1	1
26	2	2
27	1	1
29	1	1
30	1	2
32	1	1
36	1	1
40	1	1
48	1	1
