unique	unique_null	directional	directional_null	edit_distance
52561285	52561285	52828338	52828338	Single_UMI
0	83	0	55	0
268827	1543	3087	1464	1
28495	15620	27028	14531	2
89591	90409	88020	84924	3
326250	337874	316840	315759	4
844170	885175	830285	832829	5
1898940	1994212	1896850	1904655	6
1520530	1623667	1543845	1550116	7
330744	358964	334539	336161	8
0	0	0	0	9
