counts	instances_pre	instances_post
1	50922597	50199487
2	11320705	11500402
3	2202050	2278384
4	437661	455997
5	68689	75238
6	19769	21801
7	2303	2987
8	3596	3964
9	543	729
10	465	568
11	28	113
12	557	616
13	25	63
14	41	63
15	37	61
16	64	85
17	3	17
18	37	49
19	1	12
20	22	30
21	3	8
22	2	5
23	1	3
24	13	13
25	0	3
26	0	3
27	0	6
28	1	1
30	0	1
31	0	2
32	0	2
33	0	2
35	0	1
36	0	1
38	0	1
40	1	1
43	0	1
44	0	1
45	0	1
49	0	1
52	0	1
55	0	1
56	0	1
71	0	1
77	0	1
125	0	1
553	0	1
