unique	unique_null	directional	directional_null	edit_distance
54604744	54604744	54816774	54816774	Single_UMI
0	77	0	72	0
212888	1950	1837	1918	1
29119	18963	28026	17934	2
104827	106791	103483	101533	3
377045	388394	368911	368604	4
957306	992813	945570	951451	5
2130964	2208901	2130313	2136735	6
1549580	1624373	1568571	1567443	7
332253	351720	335241	336262	8
0	0	0	0	9
