unique	unique_null	directional	directional_null	edit_distance
54575871	54575871	54846378	54846378	Single_UMI
0	96	0	101	0
271485	2250	2422	2038	1
40084	21675	38353	20569	2
119721	119837	117793	112860	3
418990	432041	407789	408840	4
1063421	1106261	1047380	1050778	5
2428080	2533071	2427173	2439112	6
1698660	1798431	1725012	1729762	7
353897	380676	357909	359771	8
0	0	0	0	9
