counts	instances_pre	instances_post
1	59619719	59163385
2	8782637	8924903
3	1240203	1280553
4	208702	216102
5	25297	27598
6	8544	9185
7	753	952
8	2153	2240
9	298	361
10	266	299
11	7	34
12	271	302
13	12	21
14	29	39
15	17	31
16	32	36
17	1	9
18	23	25
19	0	5
20	15	19
21	2	4
22	1	1
23	0	3
24	4	7
25	0	2
26	0	1
27	0	2
28	0	1
29	0	1
30	3	5
31	0	1
32	0	1
36	0	1
739	0	1
