counts	instances_pre	instances_post
1	61248102	60638332
2	11132551	11306533
3	1809749	1868750
4	319058	331261
5	42228	46008
6	13353	14500
7	1222	1625
8	2731	2929
9	419	535
10	323	379
11	16	55
12	450	483
13	7	22
14	28	48
15	24	38
16	48	62
17	0	3
18	27	35
19	0	2
20	8	18
21	3	10
22	0	3
23	0	3
24	3	7
25	0	3
27	2	5
28	0	1
29	0	3
30	0	2
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
46	0	2
51	0	1
55	0	2
66	0	1
82	0	1
86	0	1
662	0	1
