counts	instances_pre	instances_post
1	55149643	54652209
2	9414541	9564614
3	1458806	1505069
4	249978	259020
5	32105	34615
6	10090	10845
7	985	1191
8	2140	2241
9	325	395
10	230	276
11	8	22
12	272	298
13	4	15
14	32	40
15	22	34
16	32	34
17	0	5
18	26	28
19	2	2
20	2	7
21	4	5
22	0	3
23	0	1
24	3	4
25	0	1
26	0	1
28	0	1
29	0	1
35	0	1
36	2	3
37	0	1
39	0	1
43	1	1
79	0	1
110	0	1
179	0	1
