unique	unique_null	directional	directional_null	edit_distance
52701192	52701192	52950260	52950260	Single_UMI
0	76	0	87	0
250193	1847	2498	1719	1
31035	17965	29501	16632	2
99505	101368	97850	95480	3
359893	369930	350491	350467	4
921573	957240	907909	909564	5
2046032	2136087	2044560	2049368	6
1564832	1662654	1587414	1593599	7
339211	365107	342983	346290	8
0	0	0	0	9
