unique	unique_null	directional	directional_null	edit_distance
48783745	48783745	48919732	48919732	Single_UMI
0	51	0	47	0
136348	1354	854	1336	1
21314	14008	20736	13679	2
79814	80182	79078	77486	3
293079	299880	288370	288386	4
761949	782509	754858	756503	5
1692901	1739783	1691357	1696659	6
1364443	1417379	1376650	1376848	7
300918	315620	302876	303835	8
0	0	0	0	9
