counts	instances_pre	instances_post
1	51487471	50788685
2	11003558	11182734
3	2076845	2149799
4	402025	419083
5	61749	67562
6	17305	19077
7	1983	2582
8	2993	3284
9	413	565
10	372	460
11	20	80
12	404	450
13	15	51
14	36	65
15	25	37
16	56	68
17	3	14
18	27	34
19	3	5
20	17	21
21	2	7
22	0	2
23	0	3
24	7	9
25	0	3
26	0	1
27	2	5
28	0	3
29	0	1
30	5	5
31	0	2
32	0	1
34	0	1
35	1	3
36	0	1
40	1	1
43	0	1
48	0	1
50	0	1
55	0	1
68	0	1
76	0	1
81	0	1
105	0	1
159	0	1
505	0	1
