unique	unique_null	directional	directional_null	edit_distance
55428933	55428933	55627414	55627414	Single_UMI
0	98	0	86	0
199328	2099	1558	1995	1
30951	20591	30073	19643	2
111974	113731	110683	108601	3
397102	407342	389400	390582	4
1006666	1039370	995409	998564	5
2209384	2284277	2209129	2217554	6
1583251	1652916	1601132	1598352	7
340965	359197	343756	345763	8
0	0	0	0	9
