unique	unique_null	directional	directional_null	edit_distance
51010879	51010879	51155159	51155159	Single_UMI
0	90	0	77	0
144527	1854	993	1834	1
29033	18233	28104	17905	2
102869	103137	101924	99558	3
363655	370586	357888	359250	4
928349	952892	919837	922506	5
2112212	2169700	2111209	2118957	6
1498991	1548540	1513263	1512395	7
315333	329937	317471	318207	8
0	0	0	0	9
