unique	unique_null	directional	directional_null	edit_distance
43046150	43046150	43392282	43392282	Single_UMI
0	56	0	47	0
347716	1220	4507	1030	1
30426	12403	27216	10887	2
70010	71394	68317	64446	3
253229	269342	242248	242027	4
649343	704954	632953	637757	5
1421183	1544683	1419414	1428383	6
1158211	1287720	1184766	1191204	7
255587	293933	260152	263792	8
0	0	0	0	9
