counts	instances_pre	instances_post
1	54596978	54194177
2	7779263	7910316
3	1040536	1075223
4	167898	173737
5	18882	20404
6	7168	7574
7	571	729
8	1663	1723
9	310	347
10	199	223
11	5	20
12	204	213
13	6	12
14	20	27
15	14	17
16	26	27
17	2	3
18	22	26
19	0	1
20	4	4
21	1	2
22	1	6
23	0	1
24	1	2
25	0	2
27	1	2
30	1	1
32	1	1
38	0	1
41	0	1
121	0	1
