counts	instances_pre	instances_post
1	59616716	58967780
2	11552798	11731524
3	1982099	2047409
4	361455	375039
5	51042	55519
6	15336	16610
7	1456	1891
8	2840	3040
9	506	645
10	379	449
11	18	69
12	414	446
13	12	33
14	35	61
15	27	46
16	44	57
17	1	3
18	42	48
19	0	5
20	9	12
21	2	9
22	2	6
23	0	2
24	5	8
25	0	1
26	0	1
27	2	6
28	0	3
30	1	4
31	0	2
32	0	2
40	1	2
44	0	1
56	0	1
72	0	1
297	0	1
900	0	1
