unique	unique_null	directional	directional_null	edit_distance
47804674	47804674	48044921	48044921	Single_UMI
0	70	0	66	0
241345	1768	2373	1585	1
29868	16871	28435	15711	2
93029	94389	91476	88270	3
326967	337770	317980	317411	4
826766	865233	814393	816795	5
1849283	1938841	1849490	1855778	6
1310140	1398176	1329901	1336279	7
278797	303077	281900	284053	8
0	0	0	0	9
