unique	unique_null	directional	directional_null	edit_distance
50349818	50349818	50520220	50520220	Single_UMI
0	78	0	63	0
171114	1653	1281	1567	1
25076	15969	24391	15076	2
90491	91273	89535	86632	3
324405	332517	317997	318184	4
832146	858045	823254	824628	5
1829476	1892816	1828812	1835546	6
1389694	1451797	1404284	1406383	7
303407	321661	305853	307328	8
0	0	0	0	9
