unique	unique_null	directional	directional_null	edit_distance
54719595	54719595	54879016	54879016	Single_UMI
0	105	0	82	0
159968	1999	1135	1978	1
27908	19322	27212	18840	2
106397	106582	105337	103242	3
376103	383058	369923	371024	4
950984	977015	942239	944303	5
2057760	2116773	2057522	2062956	6
1504056	1561872	1518069	1518704	7
329310	345760	331628	331936	8
0	0	0	0	9
