counts	instances_pre	instances_post
1	54006929	53464613
2	8861344	9023775
3	1346881	1396648
4	230831	240613
5	29265	32329
6	9433	10320
7	846	1187
8	1988	2147
9	301	390
10	240	315
11	8	48
12	286	312
13	5	20
14	16	29
15	12	22
16	29	34
17	2	9
18	17	26
19	1	7
20	9	13
21	0	2
22	1	3
23	0	1
24	3	7
25	1	3
27	1	3
28	0	1
29	0	2
34	0	1
35	0	1
38	0	1
50	0	2
72	0	1
91	0	1
92	0	1
482	0	1
