counts	instances_pre	instances_post
1	55927109	55229479
2	12170349	12355181
3	2359570	2431773
4	469232	485805
5	75324	80643
6	20865	22376
7	2435	2894
8	3714	3941
9	567	676
10	469	521
11	32	64
12	587	616
13	18	37
14	46	54
15	25	29
16	82	95
17	6	9
18	37	43
19	1	8
20	11	14
21	5	6
22	1	5
23	1	2
24	12	13
25	0	2
27	1	3
28	0	1
30	1	1
31	0	1
32	0	1
34	0	2
37	0	1
41	0	1
60	0	1
69	0	1
569	0	1
