unique	unique_null	directional	directional_null	edit_distance
56093632	56093632	56237235	56237235	Single_UMI
0	97	0	92	0
144098	2088	963	1946	1
27872	20181	27285	19324	2
112501	113047	111526	109997	3
401759	409462	395966	396475	4
1031172	1053444	1022409	1024765	5
2309338	2360668	2308357	2313277	6
1685599	1739100	1700037	1699594	7
359828	374080	362021	363094	8
0	0	0	0	9
