counts	instances_pre	instances_post
1	54582567	53928715
2	11139727	11309037
3	2048790	2115866
4	393786	409471
5	60537	66008
6	17135	18886
7	1973	2522
8	3015	3283
9	473	612
10	343	447
11	15	70
12	406	456
13	13	34
14	33	55
15	19	32
16	54	66
17	0	9
18	26	31
19	1	6
20	10	17
21	5	9
22	0	4
23	0	3
24	4	5
25	0	3
26	0	3
27	1	2
28	1	2
30	3	4
32	1	3
33	0	1
34	0	1
35	0	1
36	0	2
38	0	1
41	0	1
44	0	1
47	0	1
49	0	1
54	0	1
56	0	1
67	0	1
99	0	1
103	0	1
312	0	1
823	0	1
