counts	instances_pre	instances_post
1	55776672	55325806
2	8006500	8153296
3	1078445	1116859
4	174923	181565
5	19983	21668
6	7364	7868
7	638	789
8	1878	1966
9	307	356
10	220	246
11	7	20
12	226	239
13	6	19
14	15	23
15	15	17
16	30	35
18	20	23
19	0	1
20	5	7
21	1	3
22	0	2
23	1	3
24	3	3
25	1	4
26	0	3
28	3	4
30	2	2
34	0	1
36	0	1
40	0	1
86	0	1
241	0	1
