unique	unique_null	directional	directional_null	edit_distance
49660699	49660699	49814512	49814512	Single_UMI
0	76	0	67	0
154104	1725	1074	1592	1
24933	16247	24032	15747	2
91605	92501	90637	88756	3
326560	333134	320944	321041	4
831038	856346	822891	822543	5
1809289	1864468	1808724	1812564	6
1359896	1416955	1373160	1377655	7
298928	314901	301078	302575	8
0	0	0	0	9
