counts	instances_pre	instances_post
1	53812879	53180184
2	11207498	11364761
3	2078034	2143008
4	400109	416383
5	61422	67324
6	16602	18384
7	1911	2580
8	2940	3323
9	397	595
10	310	427
11	21	100
12	427	478
13	15	50
14	34	64
15	25	46
16	59	77
17	3	19
18	24	37
19	1	10
20	13	23
21	2	10
22	1	6
23	0	5
24	6	12
25	1	4
26	0	4
27	1	4
28	2	5
29	0	3
30	1	3
31	0	2
32	1	1
33	0	3
34	0	3
35	0	2
36	1	1
37	0	1
38	0	2
39	0	2
40	1	2
47	0	1
48	0	1
52	0	1
59	0	1
64	0	1
71	0	1
123	0	1
129	0	1
139	0	1
185	0	1
905	0	1
