counts	instances_pre	instances_post
1	65267232	64758559
2	9400168	9554027
3	1273157	1318215
4	215402	224118
5	24221	26995
6	9367	10319
7	803	1158
8	2707	2869
9	350	477
10	309	358
11	7	56
12	414	464
13	11	42
14	32	56
15	15	36
16	44	58
17	1	11
18	24	31
19	0	6
20	4	11
21	7	11
22	0	1
23	0	3
24	4	6
25	1	3
26	0	4
27	0	5
28	0	1
30	0	1
31	0	1
33	0	2
34	0	1
36	0	1
37	0	1
42	0	1
58	0	1
72	0	1
73	0	1
79	0	1
95	0	1
109	0	1
123	0	1
231	0	1
1298	0	1
