unique	unique_null	directional	directional_null	edit_distance
52980022	52980022	53247016	53247016	Single_UMI
0	89	0	90	0
262669	1893	1850	1700	1
80910	18246	73362	17510	2
116268	104083	115319	97386	3
366427	377984	356429	357124	4
923135	975235	908766	922634	5
2016178	2136140	2017008	2041711	6
1499113	1619896	1521441	1548671	7
326890	358024	330421	337770	8
0	0	0	0	9
