counts	instances_pre	instances_post
1	50226125	49210906
2	9721696	10005907
3	1725487	1820089
4	323757	345014
5	46741	53987
6	13166	15579
7	1451	2372
8	2533	3009
9	342	646
10	291	484
11	20	146
12	322	409
13	17	79
14	22	66
15	16	51
16	34	67
17	1	28
18	16	29
19	0	17
20	11	23
21	1	11
22	0	9
23	0	15
24	7	12
25	2	7
26	0	8
27	1	6
28	1	4
29	0	2
30	0	2
31	0	4
32	1	4
33	0	2
36	0	2
38	0	1
39	0	2
40	0	2
42	0	1
43	0	1
45	0	1
46	0	3
47	0	1
51	0	2
52	0	2
54	0	1
55	0	1
57	0	1
58	0	2
62	0	1
63	0	1
83	0	2
85	0	1
94	0	1
96	0	1
167	0	1
181	0	1
304	0	1
338	0	1
406	0	1
1311	0	1
