unique	unique_null	directional	directional_null	edit_distance
48033102	48033102	48265848	48265848	Single_UMI
0	79	0	97	0
233680	1751	2198	1570	1
28750	16234	27324	15305	2
89721	91403	88311	85469	3
320223	331446	311640	311003	4
814538	851929	802399	805212	5
1834034	1913613	1833367	1836982	6
1343437	1433964	1363108	1370604	7
287277	311241	290567	292672	8
0	0	0	0	9
