counts	instances_pre	instances_post
1	38447950	37911352
2	9302482	9439020
3	1933701	1992285
4	396756	410322
5	65786	70122
6	17739	18964
7	2136	2408
8	2653	2763
9	393	452
10	358	382
11	27	44
12	376	391
13	11	16
14	33	40
15	18	19
16	52	56
17	2	6
18	18	19
19	0	2
20	12	13
21	3	3
23	0	1
24	8	9
25	0	1
27	1	1
28	2	2
30	1	2
32	0	1
34	0	1
