unique	unique_null	directional	directional_null	edit_distance
42575077	42575077	42862530	42862530	Single_UMI
0	90	0	74	0
282578	1693	2216	1495	1
89672	16304	80951	15034	2
106744	91120	105610	85181	3
320384	331816	308743	308361	4
810109	863781	794051	806401	5
1909364	2041335	1907841	1941310	6
1366574	1504020	1394465	1426669	7
278276	313542	282371	291723	8
0	0	0	0	9
